ФИО;Паспорт;СНИЛС;Симптомы;Врач;Дата визита;Анализы;Дата получения;Стоимость;Карта;Повторный прием
Зимин Аркадий Алексеевич;83 16 331293;663-581-150 79;уплотнения;Онколог;2024-11-11T13:00;биохимический анализ крови + онкомаркеры + общий анализ крови;2024-11-13T15:00;4100 руб.;TINKOFF BANK | MIR | 7619 9315 8394 9400;2024-11-14T16:00
Алехин Станислав Егорович;N51034662;506-833-350 25;одышка, перебои сердечного ритма;Кардиолог;2024-07-03T10:00;эхокардиография + коагулограмма + ЭКГ;2024-07-05T14:30;6800 руб.;SBERBANK OF RUSSIA | MIR | 7318 8010 1889 2552;2024-07-08T15:30
Лопатин Илья Николаевич;AB3446854;350-694-328 50;нестабильный пульс, обморочные состояния;Кардиохирург;2024-01-17T11:00;ЭКГ + коагулограмма;2024-01-19T15:00;2300 руб.;TINKOFF BANK | MIR | 8124 2685 3742 8096;2024-01-22T16:00
Архипов Федор Станиславович;N64525590;335-806-691 95;частые срыгивания;Неонатолог;2024-08-26T09:00;общий анализ крови;2024-08-28T16:00;850 руб.;TINKOFF BANK | MIR | 2745 5501 1186 2259;2024-08-29T17:00
Горшков Глеб Андреевич;64 95 120411;807-876-849 74;мышечная слабость;Реабилитолог;2024-02-02T17:00;общий анализ крови;2024-02-05T15:00;850 руб.;VTB BANK | MASTERCARD | 2486 7426 2014 5992;2024-02-06T16:00
Анисимов Радимир Ростиславович;89 36 174618;938-954-614 91;системные нарушения;Генетик;2024-07-19T11:00;генетический анализ;2024-07-22T11:30;12000 руб.;GAZPROMBANK | MASTERCARD | 9666 4127 7862 2070;2024-07-23T12:30
Корнилов Корней Михайлович;41 80 652599;640-672-896 34;необъяснимая потеря веса;Онколог;2024-03-26T14:00;биохимический анализ крови + онкомаркеры;2024-03-29T14:00;3250 руб.;MTS BANK | MIR | 4420 6983 7164 4695;2024-04-01T15:00
Григорьев Ратмир Макарович;34 87 110234;308-286-740 19;кашель, ощущение нехватки воздуха, стеснение в груди;Пульмонолог;2024-06-10T11:00;рентген грудной клетки + общий анализ крови;2024-06-11T13:30;2050 руб.;TINKOFF BANK | MIR | 1898 7433 2436 5587;2024-06-12T14:30
Алексееев Андрей Яковлевич;84 63 881424;222-372-815 75;изменение мочи, отеки, повышение давления;Нефролог;2024-06-17T08:00;бактериологический посев мочи;2024-06-18T16:00;900 руб.;TINKOFF BANK | MIR | 8711 6554 3388 7076;2024-06-19T17:00
Бобров Тимофей Владимирович;62 95 351591;412-419-585 27;зуд, высыпания, изменения структуры кожи;Дерматолог;2024-06-20T11:00;соскоб кожи на грибки;2024-06-24T11:30;700 руб.;GAZPROMBANK | MIR | 9727 1760 7415 6514;2024-06-25T12:30
Михайлов Дмитрий Аркадьевич;63 66 488952;483-135-642 21;трудности глотания, боли в животе неясного происхождения, изжога;Эндоскопист;2024-09-09T17:00;общий анализ крови + колоноскопия + ФГДС;2024-09-11T11:30;13850 руб.;SBERBANK OF RUSSIA | MIR | 5892 3558 8929 7102;2024-09-12T12:30
Леонов Юрий Давидович;30 86 532894;666-999-668 81;головная боль, нарушение чувствительности;Невролог;2024-06-06T14:00;общий анализ крови + ЭЭГ;2024-06-07T16:00;2650 руб.;MTS BANK | MIR | 4484 7473 9836 1067;2024-06-10T17:00
Быстров Семён Яковлевич;48 24 602436;204-503-933 23;зубная боль, чувствительность;Стоматолог;2024-12-12T17:00;биохимический анализ крови + общий анализ крови + рентген зубов;2024-12-16T11:00;2400 руб.;TINKOFF BANK | VISA | 7573 4210 4556 7578;2024-12-17T12:00
Марков Вадим Никифорович;63 61 554242;337-358-323 12;сыпь, кашель;Педиатр;2024-07-17T12:00;общий анализ крови + общий анализ мочи;2024-07-22T11:00;1140 руб.;VTB BANK | MASTERCARD | 2618 4074 5595 1337;2024-07-23T12:00
Дроздов Леонид Юрьевич;60 68 266346;739-942-182 49;апатия, потеря интереса;Психиатр;2024-02-14T08:00;психодиагностика + биохимический анализ крови;2024-02-19T09:30;5850 руб.;GAZPROMBANK | MIR | 3814 7847 4306 1319;2024-02-20T10:30
Левин Михаил Тимофеевич;35 68 434619;940-710-355 98;вздутие, тошнота;Гастроэнтеролог;2024-07-23T16:00;ФГДС + биохимический анализ крови + общий анализ крови;2024-07-26T16:30;7200 руб.;VTB BANK | MASTERCARD | 3499 4790 1752 8025;2024-07-29T17:30
Борисов Дмитрий Коновалович;45 96 495125;513-455-393 68;снижение аппетита, уплотнения, хроническая усталость;Онколог;2024-06-03T15:00;биохимический анализ крови + онкомаркеры;2024-06-05T11:00;3250 руб.;MTS BANK | MIR | 1576 2213 2134 2577;2024-06-06T12:00
Жданов Егор Филиппович;85 57 701216;122-734-949 96;мышечные подергивания, замедленная реакция, головная боль;Невролог;2024-04-08T14:00;общий анализ крови;2024-04-09T17:00;850 руб.;TINKOFF BANK | MASTERCARD | 2686 4254 4745 6074;2024-04-10T18:00
Ситников Марат Кириллович;58 76 582676;123-749-316 61;снижение подвижности, замедленное восстановление;Реабилитолог;2024-10-01T13:00;механотерапия + общий анализ крови;2024-10-03T09:00;1450 руб.;GAZPROMBANK | MIR | 1956 2422 5411 7081;2024-10-04T10:00
Сидоров Валентин Валерьевич;AB2364958;760-448-395 59;мышечное напряжение, скованность;Физиотерапевт;2024-01-22T09:00;магнитотерапия + дарсонвализация;2024-01-24T14:00;850 руб.;MTS BANK | MIR | 1359 3941 1555 6922;2024-01-25T15:00
Княжевич Василий Ильич;19 40 529339;881-654-544 26;нарушение чувствительности, мышечные подергивания, неустойчивость;Невролог;2024-06-07T12:00;ЭЭГ + общий анализ крови + МРТ головного мозга;2024-06-10T18:00;10150 руб.;SBERBANK OF RUSSIA | MASTERCARD | 7899 6438 7960 3816;2024-06-11T16:30
Хмельников Марк Дмитриевич;81 21 667551;774-992-845 60;апатия;Психиатр;2024-08-26T16:00;биохимический анализ крови + психодиагностика + общий анализ крови;2024-08-28T15:00;6700 руб.;SBERBANK OF RUSSIA | MIR | 8887 8171 1589 4457;2024-08-29T16:00
Петров Радимир Павлович;65 85 759272;949-107-998 92;плохой набор веса, вялость, снижение активности;Неонатолог;2024-10-07T16:00;общий анализ крови + общий анализ мочи;2024-10-09T10:00;1140 руб.;SBERBANK OF RUSSIA | MASTERCARD | 7688 2533 2205 9532;2024-10-10T11:00
Левин Кирилл Юрьевич;71 36 206764;786-736-742 87;необъяснимая потеря веса, уплотнения, длительная боль;Онколог;2024-07-03T11:00;онкомаркеры;2024-07-08T17:30;2400 руб.;MTS BANK | MIR | 3482 5636 8766 8389;2024-07-09T18:30
Николаев Глеб Захарович;AB5153506;231-675-734 39;нарушения сна;Психиатр;2024-08-15T08:00;психодиагностика + биохимический анализ крови;2024-08-16T18:00;5850 руб.;VTB BANK | MASTERCARD | 9547 1218 5371 8444;2024-08-19T10:30
Демьянов Юрий Валерьевич;60 91 948652;780-539-626 88;ограничение функции;Хирург;2024-10-25T16:00;общий анализ крови + УЗИ органов брюшной полости + биохимический анализ крови;2024-10-28T17:00;4200 руб.;SBERBANK OF RUSSIA | MIR | 2958 9078 2540 4588;2024-10-29T18:00
Якунин Степан Михайлович;51 46 921601;815-792-142 63;вялость, кашель;Педиатр;2024-10-07T17:00;биохимический анализ крови + общий анализ крови;2024-10-10T13:00;1700 руб.;TINKOFF BANK | MASTERCARD | 1090 6770 3396 6880;2024-10-11T14:00
Яковлев Харитон Витальевич;13 60 385734;714-268-143 20;выгорание, тревожные мысли, эмоциональное напряжение;Психотерапевт;2024-02-26T15:00;общий анализ крови + ЭЭГ + психодиагностика;2024-02-28T16:00;7650 руб.;VTB BANK | MIR | 3455 9070 9586 9531;2024-02-29T17:00
Волков Филипп Елисеевич;59 17 205091;430-321-866 22;дискомфорт в груди, одышка, головокружение;Кардиолог;2024-03-11T12:00;ЭКГ + эхокардиография;2024-03-13T12:30;6000 руб.;SBERBANK OF RUSSIA | MASTERCARD | 6363 6876 2217 5802;2024-03-14T13:30
Фролов Геннадий Леонидович;90 11 325408;237-968-506 65;хронические боли, ограничение подвижности;Физиотерапевт;2024-04-25T17:00;магнитотерапия + дарсонвализация + ультразвуковая терапия;2024-04-29T10:00;1300 руб.;SBERBANK OF RUSSIA | MASTERCARD | 8811 5986 5843 8391;2024-04-30T11:00
Попов Дамир Валерьевич;27 74 578086;497-648-392 53;неустойчивость, мышечные подергивания;Невролог;2024-12-16T16:00;общий анализ крови + ЭЭГ + МРТ головного мозга;2024-12-19T15:30;10150 руб.;GAZPROMBANK | MIR | 4825 7861 3355 2393;2024-12-20T16:30
Субботин Тимур Станиславович;98 79 420414;249-817-178 52;тревожность, перепады настроения, нарушения сна;Психиатр;2024-12-16T12:00;общий анализ крови + биохимический анализ крови;2024-12-18T17:00;1700 руб.;MTS BANK | MIR | 2686 6535 2614 4104;2024-12-19T18:00
Захаров Леон Александрович;AB7855044;324-695-536 63;снижение аппетита, уплотнения;Онколог;2024-06-04T13:00;онкомаркеры;2024-06-06T10:30;2400 руб.;TINKOFF BANK | MASTERCARD | 5623 2358 5495 2329;2024-06-07T11:30
Чернов Корней Егорович;31 47 217968;156-139-415 83;ухудшение зрения, напряжение глаз;Офтальмолог;2024-12-19T09:00;офтальмоскопия + томография глаза + общий анализ крови;2024-12-20T13:00;1850 руб.;VTB BANK | MASTERCARD | 5376 4999 5223 1321;2024-12-23T14:00
Туров Василий Леонидович;69 11 166723;421-821-285 60;проблемы с весом, усталость, пищевой дискомфорт;Диетолог;2024-06-21T08:00;общий анализ мочи + биохимический анализ крови + глюкоза крови;2024-06-24T13:00;1400 руб.;VTB BANK | VISA | 1007 4272 9348 1787;2024-06-25T14:00
Рубцов Семен Ярославович;98 71 395873;789-631-880 39;замедленная речь;Логопед;2024-04-26T10:00;общий анализ крови + аудиометрия;2024-04-29T15:00;2050 руб.;TINKOFF BANK | VISA | 8985 4189 8206 9806;2024-04-30T16:00
Костин Арсений Сергеевич;38 49 721198;708-773-554 25;выраженная боль в груди, обморочные состояния;Кардиохирург;2024-01-09T08:00;ЭКГ;2024-01-11T10:00;1500 руб.;MTS BANK | MIR | 4151 3643 1969 4706;2024-01-12T11:00
Левин Александр Станиславович;83 40 936628;291-755-443 98;тревожность, потеря интереса, апатия;Психиатр;2024-06-12T13:00;биохимический анализ крови + общий анализ крови;2024-06-14T11:30;1700 руб.;GAZPROMBANK | MASTERCARD | 6570 9861 6699 5997;2024-06-17T12:30
Максимов Тимофей Павлович;N57007311;774-389-428 77;чувствительность;Стоматолог;2024-04-25T17:00;биохимический анализ крови + рентген зубов + общий анализ крови;2024-04-29T09:00;2400 руб.;GAZPROMBANK | MIR | 6643 5573 5090 2987;2024-04-30T10:00
Павлов Матвей Елисеевич;N23976361;802-662-625 99;боли в суставах, нарушение осанки;Ортопед;2024-06-17T13:00;общий анализ крови + МРТ позвоночника + рентген грудной клетки;2024-06-20T12:00;8550 руб.;SBERBANK OF RUSSIA | VISA | 5112 6425 1927 4801;2024-06-21T13:00
Горбунов Владислав Захарович;82 89 521500;774-837-209 77;нарушение терморегуляции;Эндокринолог;2024-01-08T17:00;глюкоза крови;2024-01-11T10:00;260 руб.;TINKOFF BANK | MIR | 1771 3172 4102 3320;2024-01-12T11:00
Хмельников Данила Степанович;AB1449521;136-679-630 90;кожные проявления;Аллерголог;2024-09-27T12:00;биохимический анализ крови;2024-09-30T16:00;850 руб.;SBERBANK OF RUSSIA | MASTERCARD | 6964 5793 6164 9836;2024-10-01T17:00
Яковлев Радимир Всеволодович;63 60 655957;691-900-299 56;обморочные состояния, нестабильный пульс;Кардиохирург;2024-01-24T08:00;коагулограмма + ЭКГ + эхокардиография;2024-01-29T10:30;6800 руб.;GAZPROMBANK | MIR | 6567 6687 7177 3891;2024-01-30T11:30
Ширяев Радимир Русланович;AB9255198;642-799-271 99;чихание;Аллерголог;2024-12-10T09:00;общий анализ крови + биохимический анализ крови + аллергопробы;2024-12-12T17:00;3700 руб.;VTB BANK | MIR | 7104 7943 6018 1804;2024-12-13T18:00
Лукин Прохор Георгиевич;41 53 375458;137-712-704 22;нарушение питания, усталость, снижение энергии;Диетолог;2024-01-18T14:00;общий анализ мочи + биохимический анализ крови;2024-01-22T14:00;1140 руб.;MTS BANK | MASTERCARD | 2559 9563 8362 1130;2024-01-23T15:00
Жданов Филипп Валерьевич;97 90 834542;577-768-728 41;вялость, нестабильное дыхание;Неонатолог;2024-07-15T11:00;общий анализ мочи;2024-07-17T15:30;290 руб.;TINKOFF BANK | MIR | 9709 9831 9106 4834;2024-07-18T16:30
Туров Игорь Иванович;58 99 920988;807-556-302 42;изменение мочи, слабость, отеки;Нефролог;2024-09-17T12:00;УЗИ почек и мочевого пузыря;2024-09-20T15:00;2500 руб.;VTB BANK | MIR | 1676 8246 5702 3402;2024-09-23T16:00
Сергеев Арсений Алексеевич;31 69 837926;802-663-575 27;отеки, слабость, боль в пояснице;Нефролог;2024-08-26T16:00;бактериологический посев мочи + общий анализ мочи + УЗИ почек и мочевого пузыря;2024-08-27T16:00;3690 руб.;VTB BANK | MASTERCARD | 3884 2573 3743 6809;2024-08-28T17:00
Колобов Вадим Аркадьевич;53 96 281050;141-676-579 25;длительная боль;Онколог;2024-07-09T09:00;биохимический анализ крови + онкомаркеры + общий анализ крови;2024-07-11T12:00;4100 руб.;GAZPROMBANK | MASTERCARD | 7852 6415 5586 1770;2024-07-12T13:00
Рогов Ростислав Олегович;33 60 367784;860-512-448 59;покраснение, ограничение функции;Хирург;2024-12-03T17:00;общий анализ крови + УЗИ органов брюшной полости;2024-12-05T14:30;3350 руб.;MTS BANK | MASTERCARD | 2552 2182 7182 1707;2024-12-06T15:30
Доронин Евдоким Валерьевич;14 11 162359;395-516-289 77;высыпания, покраснение кожи;Дерматолог;2024-10-14T11:00;соскоб кожи на грибки + общий анализ крови;2024-10-15T18:00;1550 руб.;GAZPROMBANK | MASTERCARD | 9432 4128 9232 2718;2024-10-16T13:00
Шубин Марат Валерьевич;99 46 565962;938-273-192 80;нарушения сна, апатия, перепады настроения;Психиатр;2024-08-05T08:00;психодиагностика;2024-08-07T13:30;5000 руб.;MTS BANK | VISA | 9388 7491 4416 5139;2024-08-08T14:30
Мочалов Емельян Захарович;90 84 174404;124-220-261 55;уплотнения, хроническая усталость, снижение аппетита;Онколог;2024-06-26T10:00;биохимический анализ крови;2024-06-27T17:30;850 руб.;VTB BANK | MIR | 2956 3005 4215 5923;2024-06-28T18:30
Ширяев Федор Ильич;AB8583671;462-548-478 57;острая локальная боль, ограничение функции, покраснение;Хирург;2024-05-03T14:00;общий анализ крови + УЗИ органов брюшной полости + биохимический анализ крови;2024-05-06T09:00;4200 руб.;SBERBANK OF RUSSIA | MASTERCARD | 9303 9519 8463 7028;2024-05-07T10:00
Селезнев Кузьма Арсеньевич;95 72 225482;319-692-863 18;головная боль;Невролог;2024-12-27T09:00;МРТ головного мозга + общий анализ крови;2024-12-30T11:00;8350 руб.;SBERBANK OF RUSSIA | MIR | 3301 6511 5753 2176;2024-12-31T12:00
Исаков Елисей Артемьевич;77 89 375124;673-778-828 20;напряжение голоса;Логопед;2024-09-25T11:00;общий анализ крови + аудиометрия;2024-09-26T11:00;2050 руб.;TINKOFF BANK | MASTERCARD | 3003 2316 6572 6326;2024-09-27T12:00
Панов Леон Евгеньевич;25 76 427019;423-218-409 41;системные нарушения, наследственные риски, врожденные особенности;Генетик;2024-08-23T08:00;биохимический анализ крови;2024-08-26T15:30;850 руб.;MTS BANK | MASTERCARD | 6474 2525 5513 7867;2024-08-27T16:30
Крюков Евгений Геннадьевич;29 66 312257;630-294-389 21;необъяснимая потеря веса, хроническая усталость;Онколог;2024-12-09T11:00;общий анализ крови + онкомаркеры + биохимический анализ крови;2024-12-12T10:00;4100 руб.;MTS BANK | MIR | 7004 8872 3566 9739;2024-12-13T11:00
Колесников Савва Николаевич;17 56 807846;472-396-650 70;замедленная реакция, мышечные подергивания;Невролог;2024-04-03T15:00;МРТ головного мозга + ЭЭГ + общий анализ крови;2024-04-05T08:00;10150 руб.;MTS BANK | MASTERCARD | 9272 4871 4358 6507;2024-04-08T09:00
Коваленко Захар Георгиевич;41 29 891186;578-620-705 43;врожденные особенности;Генетик;2024-11-18T17:00;биохимический анализ крови + общий анализ крови;2024-11-21T16:30;1700 руб.;SBERBANK OF RUSSIA | MIR | 8420 4722 4668 8583;2024-11-22T17:30
Демьянов Олег Степанович;36 76 737697;478-831-671 61;чувствительность, отек;Стоматолог;2024-10-10T10:00;рентген зубов;2024-10-11T12:00;700 руб.;TINKOFF BANK | MASTERCARD | 6633 6164 7293 3459;2024-10-14T13:00
Ларионов Григорий Захарович;85 18 989877;836-308-535 47;острая локальная боль, отек тканей;Хирург;2024-07-15T09:00;УЗИ органов брюшной полости + биохимический анализ крови;2024-07-17T16:00;3350 руб.;SBERBANK OF RUSSIA | VISA | 7002 5890 8491 4393;2024-07-18T17:00
Беляев Давид Романович;55 11 104839;481-454-950 80;покраснение кожи, изменения структуры кожи, зуд;Дерматолог;2024-06-13T15:00;общий анализ крови + биохимический анализ крови + соскоб кожи на грибки;2024-06-17T16:30;2400 руб.;SBERBANK OF RUSSIA | MIR | 9793 3785 6235 9019;2024-06-18T17:30
Киселев Тимофей Валерьевич;89 94 105416;444-519-189 48;ломота в теле, общее недомогание, слабость;Терапевт;2024-12-13T10:00;общий анализ крови;2024-12-16T17:00;850 руб.;TINKOFF BANK | MIR | 7919 6835 1545 2063;2024-12-17T18:00
Давыдов Арсений Владиславович;51 65 163283;704-381-323 49;повышение давления, боль в пояснице, слабость;Нефролог;2024-02-02T09:00;УЗИ почек и мочевого пузыря + бактериологический посев мочи;2024-02-05T13:30;3400 руб.;MTS BANK | VISA | 1829 6790 4699 2193;2024-02-06T14:30
Авдеев Глеб Витальевич;35 58 877361;128-105-268 30;длительная боль, уплотнения;Онколог;2024-10-07T09:00;биохимический анализ крови;2024-10-10T09:00;850 руб.;SBERBANK OF RUSSIA | MASTERCARD | 4392 8069 7395 6693;2024-10-11T10:00
Веденин Матвей Давидович;31 18 373597;773-531-199 64;перепады настроения, потеря интереса;Психиатр;2024-11-11T15:00;биохимический анализ крови + психодиагностика;2024-11-13T12:00;5850 руб.;GAZPROMBANK | MIR | 2140 2072 5899 8281;2024-11-14T13:00
Семенов Игнат Филиппович;61 22 718843;202-402-786 61;покраснение кожи;Дерматолог;2024-11-18T13:00;биохимический анализ крови;2024-11-19T09:00;850 руб.;SBERBANK OF RUSSIA | MIR | 4575 5673 2129 1609;2024-11-20T10:00
Пономарев Артём Ильич;92 69 934378;227-721-796 93;скованность, замедленное восстановление;Физиотерапевт;2024-03-22T12:00;дарсонвализация + ультразвуковая терапия;2024-03-25T17:00;950 руб.;SBERBANK OF RUSSIA | MASTERCARD | 4139 3667 5669 4855;2024-03-26T18:00
Соболев Богдан Богданович;AB1038494;362-523-389 71;усталость;Диетолог;2024-03-12T14:00;биохимический анализ крови + общий анализ мочи + глюкоза крови;2024-03-14T12:00;1400 руб.;SBERBANK OF RUSSIA | MASTERCARD | 5861 7823 3089 9738;2024-03-15T13:00
Жарков Степан Геннадьевич;79 74 314476;500-543-136 41;одышка, слабость при нагрузке;Кардиолог;2024-10-10T10:00;коагулограмма + эхокардиография;2024-10-11T15:30;5300 руб.;TINKOFF BANK | MIR | 3630 6616 1175 6858;2024-10-14T16:30
Фомин Олег Павлович;88 70 541711;696-644-877 47;трудности произношения, напряжение голоса, нарушения речи;Логопед;2024-12-23T14:00;психодиагностика;2024-12-25T09:00;5000 руб.;VTB BANK | MASTERCARD | 5955 4614 4532 5598;2024-12-26T10:00
Степанов Демид Тимурович;78 42 401901;923-920-103 94;трудности расслабления, стресс;Психотерапевт;2024-11-25T08:00;ЭЭГ + общий анализ крови + психодиагностика;2024-11-27T11:00;7650 руб.;SBERBANK OF RUSSIA | MIR | 7283 4004 2072 4536;2024-11-28T12:00
Константинов Демид Арсеньевич;15 20 656846;267-262-223 88;мышечное напряжение;Физиотерапевт;2024-02-05T08:00;магнитотерапия;2024-02-08T17:00;350 руб.;VTB BANK | MIR | 1972 4802 1839 6056;2024-02-09T18:00
Орлов Василий Максимович;24 60 809889;474-182-677 45;дискомфорт в животе, изменение аппетита;Гастроэнтеролог;2024-02-14T15:00;биохимический анализ крови + общий анализ крови;2024-02-15T18:00;1700 руб.;GAZPROMBANK | MASTERCARD | 1957 7123 9434 3198;2024-02-16T15:30
Жарков Марк Викторович;16 61 603213;640-145-715 58;ухудшение зрения, сухость;Офтальмолог;2024-11-25T15:00;офтальмоскопия + общий анализ крови + томография глаза;2024-11-27T12:00;1850 руб.;VTB BANK | MASTERCARD | 6956 7947 9061 7113;2024-11-28T13:00
Сорокин Влад Ростиславович;AB2599281;102-451-111 18;повышенная температура, сыпь, отказ от еды;Педиатр;2024-11-11T17:00;общий анализ крови + общий анализ мочи + биохимический анализ крови;2024-11-14T11:30;1990 руб.;MTS BANK | VISA | 3175 3925 3967 8429;2024-11-15T12:30
Архипов Александр Евгеньевич;AB7995257;493-198-980 76;снижение энергии;Терапевт;2024-11-07T11:00;биохимический анализ крови + общий анализ крови + общий анализ мочи;2024-11-11T13:00;1990 руб.;SBERBANK OF RUSSIA | MIR | 8080 7396 9375 1565;2024-11-12T14:00
Коновалов Геннадий Георгиевич;22 64 125970;971-326-842 36;ломота в теле;Терапевт;2024-07-08T13:00;общий анализ крови;2024-07-11T13:00;850 руб.;MTS BANK | MASTERCARD | 2382 4455 4297 9089;2024-07-12T14:00
Алехин Гавриил Ярославович;64 57 909005;893-374-767 42;замедленная реакция, неустойчивость, мышечные подергивания;Невролог;2024-01-10T10:00;общий анализ крови;2024-01-12T09:30;850 руб.;GAZPROMBANK | VISA | 4405 5013 6449 6549;2024-01-15T10:30
Комаров Станислав Богданович;20 85 143515;877-368-477 35;боль после повреждения;Травматолог;2024-03-04T15:00;МРТ сустава + общий анализ крови + рентген сустава;2024-03-05T16:00;8850 руб.;SBERBANK OF RUSSIA | MASTERCARD | 8685 4766 6586 9597;2024-03-06T17:00
Панов Прохор Максимович;83 42 155309;676-563-270 90;проблемы с весом, снижение энергии;Диетолог;2024-06-11T08:00;глюкоза крови;2024-06-12T16:30;260 руб.;MTS BANK | MIR | 4657 3701 6843 5609;2024-06-13T17:30
Левин Николай Романович;91 18 717046;978-768-753 42;першение в горле, дискомфорт в носоглотке, снижение слуха;Лор;2024-08-13T14:00;мазок из зева + аудиометрия + общий анализ крови;2024-08-15T10:30;2850 руб.;SBERBANK OF RUSSIA | MIR | 6098 9375 8915 1076;2024-08-16T11:30
Максимов Савва Артемьевич;AB1702173;402-909-653 41;нестабильное дыхание;Неонатолог;2024-11-11T17:00;общий анализ мочи + общий анализ крови;2024-11-13T14:00;1140 руб.;MTS BANK | MIR | 9309 2276 8464 7563;2024-11-14T15:00
Суханов Давид Богданович;45 37 584900;863-748-195 15;отеки, изменение мочи, слабость;Нефролог;2024-02-12T14:00;общий анализ мочи;2024-02-13T16:00;290 руб.;MTS BANK | MASTERCARD | 6220 3763 9680 9896;2024-02-14T17:00
Шилов Кирилл Глебович;48 52 300561;183-252-392 47;врожденные особенности, атипичные проявления;Генетик;2024-05-08T15:00;биохимический анализ крови + общий анализ крови + генетический анализ;2024-05-10T18:00;13700 руб.;MTS BANK | MASTERCARD | 9215 2530 8576 8080;2024-05-13T13:30
Куприянов Гордей Владиславович;12 95 542594;298-709-847 73;нарушения речи, напряжение голоса;Логопед;2024-11-07T15:00;аудиометрия + психодиагностика;2024-11-11T16:00;6200 руб.;MTS BANK | MASTERCARD | 3267 1951 3611 9975;2024-11-12T17:00
Поляков Константин Степанович;78 32 853126;143-549-745 63;нестабильная температура, снижение энергии;Терапевт;2024-05-06T15:00;общий анализ мочи + биохимический анализ крови + общий анализ крови;2024-05-07T14:30;1990 руб.;TINKOFF BANK | MIR | 2040 2778 8441 1391;2024-05-08T15:30
Игнатьев Виктор Антонович;85 15 717511;538-355-990 35;снижение аппетита, хроническая усталость, уплотнения;Онколог;2024-06-14T12:00;биохимический анализ крови + общий анализ крови + онкомаркеры;2024-06-17T15:00;4100 руб.;SBERBANK OF RUSSIA | VISA | 7187 3765 2930 2634;2024-06-18T16:00
Белов Лев Викторович;95 30 542963;720-137-698 51;кожные проявления;Аллерголог;2024-03-07T16:00;аллергопробы + общий анализ крови + биохимический анализ крови;2024-03-11T11:00;3700 руб.;VTB BANK | MIR | 3781 5004 9872 4934;2024-03-12T12:00
Леонов Степан Тимурович;72 24 618358;697-608-178 37;стеснение в груди, кашель;Пульмонолог;2024-07-11T16:00;общий анализ крови;2024-07-12T16:00;850 руб.;MTS BANK | MASTERCARD | 2031 4091 3002 4733;2024-07-15T17:00
Ковалев Даниил Захарович;AB5012498;283-329-533 65;ограничение подвижности, замедленное восстановление;Физиотерапевт;2024-01-15T09:00;дарсонвализация + ультразвуковая терапия;2024-01-17T15:30;950 руб.;GAZPROMBANK | MASTERCARD | 7919 3879 3691 5302;2024-01-18T16:30
Леонов Давид Иванович;AB5533417;113-955-659 30;зуд, покраснение кожи;Дерматолог;2024-03-11T17:00;соскоб кожи на грибки + общий анализ крови + биохимический анализ крови;2024-03-14T14:00;2400 руб.;GAZPROMBANK | MASTERCARD | 5125 8550 7583 7970;2024-03-15T15:00
Хмельников Иван Геннадьевич;63 80 543251;921-401-709 84;тревожные мысли, трудности расслабления, стресс;Психотерапевт;2024-07-01T17:00;психодиагностика + ЭЭГ;2024-07-03T13:00;6800 руб.;SBERBANK OF RUSSIA | MASTERCARD | 4589 6991 2836 8809;2024-07-04T14:00
Андреев Василий Арсеньевич;24 59 880817;578-863-109 76;жажда, усталость, снижение энергии;Эндокринолог;2024-03-15T11:00;ТТГ;2024-03-18T13:30;410 руб.;VTB BANK | MASTERCARD | 5553 6426 5777 5888;2024-03-19T14:30
Лыткин Василий Арсеньевич;96 77 781922;487-671-343 99;трудности произношения, заикание;Логопед;2024-10-02T08:00;общий анализ крови + аудиометрия + психодиагностика;2024-10-04T10:00;7050 руб.;MTS BANK | MIR | 2383 5476 6665 3494;2024-10-07T11:00
Малахов Корней Аркадьевич;90 11 125787;880-629-753 69;воспаление, отек тканей;Хирург;2024-07-02T09:00;общий анализ крови;2024-07-04T12:00;850 руб.;MTS BANK | MASTERCARD | 4606 6149 3378 9798;2024-07-05T13:00
Константинов Филипп Михайлович;AB7384237;838-120-335 70;апатия, перепады настроения;Психиатр;2024-07-29T13:00;биохимический анализ крови + психодиагностика;2024-07-31T12:30;5850 руб.;TINKOFF BANK | VISA | 2780 1478 6952 6899;2024-08-01T13:30
Пестов Семён Степанович;22 38 407463;528-451-225 15;снижение слуха, дискомфорт в носоглотке, щелчки при глотании;Лор;2024-12-25T09:00;аудиометрия + общий анализ крови + мазок из зева;2024-12-26T15:00;2850 руб.;VTB BANK | MIR | 9663 1460 5335 8806;2024-12-27T16:00
Селиванов Гордей Артемьевич;32 37 904842;286-592-115 91;замедленное восстановление;Реабилитолог;2024-11-04T17:00;консультация врача-реабилитолога + механотерапия;2024-11-06T18:00;5200 руб.;SBERBANK OF RUSSIA | MIR | 2231 5113 2976 4038;2024-11-07T15:30
Ситников Прохор Тимофеевич;N13625880;443-682-384 57;двоение;Офтальмолог;2024-01-10T16:00;офтальмоскопия + томография глаза;2024-01-15T15:30;1000 руб.;VTB BANK | MASTERCARD | 2017 6440 8047 2577;2024-01-16T16:30
Шестаков Игорь Степанович;AB6082523;619-325-599 38;перебои сердечного ритма, головокружение, слабость при нагрузке;Кардиолог;2024-10-25T16:00;ЭКГ;2024-10-28T17:30;1500 руб.;VTB BANK | MASTERCARD | 9696 3562 5948 7201;2024-10-29T18:30
