ФИО;Паспорт;СНИЛС;Симптомы;Врач;Дата визита;Анализы;Дата получения;Стоимость;Карта;Повторный прием
Ларионов Лев Леонидович;AB3695614;408-989-715 38;ухудшение переносимости нагрузки;Кардиохирург;2024-02-08T14:00;коагулограмма + эхокардиография + ЭКГ;2024-02-12T10:00;6800 руб.;MTS BANK | VISA | 5924 7094 2441 8087;2024-02-13T11:00
Евдокимов Георгий Данилович;28 88 628272;279-349-335 36;мышечная слабость;Реабилитолог;2024-10-04T11:00;механотерапия + общий анализ крови;2024-10-07T16:30;1450 руб.;GAZPROMBANK | VISA | 4557 6485 4864 7959;2024-10-08T17:30
Большаков Никита Русланович;57 31 163243;529-968-521 64;замедленная реакция, неустойчивость, мышечные подергивания;Невролог;2024-08-06T12:00;МРТ головного мозга + ЭЭГ + общий анализ крови;2024-08-09T17:00;10150 руб.;TINKOFF BANK | MASTERCARD | 1320 8346 8778 9631;2024-08-12T18:00
Бирюков Мирон Леонидович;AB4175023;437-832-762 15;напряжение голоса;Логопед;2024-11-22T09:00;общий анализ крови;2024-11-25T14:00;850 руб.;GAZPROMBANK | MIR | 8442 4544 1148 6317;2024-11-26T15:00
Крюков Валентин Эдуардович;AB1194112;166-491-360 95;снижение активности, плохой набор веса;Неонатолог;2024-03-26T12:00;общий анализ мочи + общий анализ крови;2024-03-27T15:00;1140 руб.;MTS BANK | MIR | 3143 4645 3787 2916;2024-03-28T16:00
Вавилов Олег Тимурович;45 46 186325;848-245-822 52;стресс;Психотерапевт;2024-01-19T10:00;общий анализ крови + ЭЭГ;2024-01-22T16:00;2650 руб.;MTS BANK | MASTERCARD | 7083 7939 1534 1212;2024-01-23T17:00
Одинцов Макар Владиславович;N16984347;288-237-465 62;снижение аппетита, необъяснимая потеря веса, длительная боль;Онколог;2024-10-25T17:00;биохимический анализ крови + онкомаркеры;2024-10-28T17:00;3250 руб.;VTB BANK | MASTERCARD | 3059 8863 7766 4964;2024-10-29T18:00
Царев Василий Петрович;48 70 811815;375-398-940 14;замедленное восстановление, мышечная слабость, утомляемость;Реабилитолог;2024-01-22T08:00;консультация врача-реабилитолога;2024-01-23T15:00;4600 руб.;TINKOFF BANK | MASTERCARD | 3285 2461 5577 4602;2024-01-24T16:00
Никитин Аркадий Коновалович;74 47 646039;129-733-794 98;реакции на раздражители, слезоточивость, отечность;Аллерголог;2024-02-23T13:00;аллергопробы + общий анализ крови + биохимический анализ крови;2024-02-26T15:00;3700 руб.;TINKOFF BANK | MIR | 2976 2308 5236 3106;2024-02-27T16:00
Родионов Филипп Максимович;AB8931113;945-679-479 80;ощущение нехватки воздуха;Пульмонолог;2024-12-16T16:00;спирометрия;2024-12-18T11:00;1800 руб.;TINKOFF BANK | VISA | 9496 2067 1682 1001;2024-12-19T12:00
Шестаков Дмитрий Русланович;AB5274501;345-707-578 19;замедленное восстановление, скованность;Физиотерапевт;2024-04-15T13:00;дарсонвализация;2024-04-17T12:00;500 руб.;VTB BANK | MASTERCARD | 9044 7121 1129 6350;2024-04-18T13:00
Филатов Яков Ростиславович;78 13 956063;970-893-396 79;затрудненное дыхание, ощущение нехватки воздуха, кашель;Пульмонолог;2024-03-15T16:00;спирометрия + общий анализ крови + рентген грудной клетки;2024-03-18T16:30;3850 руб.;MTS BANK | VISA | 3988 7707 8380 2822;2024-03-19T17:30
Воронин Леонид Васильевич;N33093894;228-116-681 94;сыпь, кашель, вялость;Педиатр;2024-07-08T15:00;биохимический анализ крови;2024-07-09T17:00;850 руб.;MTS BANK | VISA | 8276 1830 6996 4401;2024-07-10T18:00
Капустин Артём Русланович;N63093846;718-827-929 57;стеснение в груди;Пульмонолог;2024-11-06T12:00;спирометрия;2024-11-11T14:30;1800 руб.;SBERBANK OF RUSSIA | VISA | 3057 9362 6271 7431;2024-11-12T15:30
Устинов Тимур Богданович;62 39 536023;381-330-171 54;зубная боль, отек;Стоматолог;2024-09-02T09:00;рентген зубов + биохимический анализ крови;2024-09-04T10:00;1550 руб.;GAZPROMBANK | MIR | 3650 6180 2388 2157;2024-09-05T11:00
Федоров Арсений Никифорович;N10902077;870-783-320 93;нарушение чувствительности, неустойчивость;Невролог;2024-07-10T13:00;общий анализ крови;2024-07-15T10:30;850 руб.;SBERBANK OF RUSSIA | VISA | 8854 5075 1351 7955;2024-07-16T11:30
Зуев Марк Станиславович;AB7499148;972-365-738 90;кожные проявления, отечность, чихание;Аллерголог;2024-09-23T12:00;биохимический анализ крови + аллергопробы + общий анализ крови;2024-09-26T11:00;3700 руб.;VTB BANK | VISA | 5026 1583 9238 9117;2024-09-27T12:00
Лыткин Павел Эдуардович;AB8044551;477-342-417 56;покраснение кожи, высыпания, изменения структуры кожи;Дерматолог;2024-08-01T10:00;биохимический анализ крови;2024-08-02T12:30;850 руб.;MTS BANK | MASTERCARD | 7212 1600 1971 7411;2024-08-05T13:30
Рябов Михаил Ростиславович;N94062482;481-621-248 26;отеки, боль в пояснице, изменение мочи;Нефролог;2024-07-22T12:00;УЗИ почек и мочевого пузыря + общий анализ мочи + бактериологический посев мочи;2024-07-24T12:00;3690 руб.;TINKOFF BANK | MIR | 9285 3090 6482 2619;2024-07-25T13:00
Уваров Корней Никифорович;N98773040;276-554-521 44;снижение аппетита, необъяснимая потеря веса;Онколог;2024-11-21T10:00;биохимический анализ крови;2024-11-22T12:00;850 руб.;TINKOFF BANK | VISA | 3492 9870 8164 5779;2024-11-25T13:00
Хмельников Юрий Федорович;AB7473800;464-688-588 85;общее недомогание, ломота в теле;Терапевт;2024-03-07T17:00;общий анализ мочи;2024-03-11T14:00;290 руб.;MTS BANK | MASTERCARD | 9851 7973 5510 6333;2024-03-12T15:00
Доронин Артём Александрович;AB5462911;648-465-164 37;системные нарушения;Генетик;2024-09-09T14:00;общий анализ крови + генетический анализ;2024-09-11T15:00;12850 руб.;GAZPROMBANK | MIR | 3081 3395 2996 6357;2024-09-12T16:00
Нестеров Ратмир Леонидович;78 55 136268;477-184-140 51;резкая одышка, ухудшение переносимости нагрузки;Кардиохирург;2024-12-09T14:00;ЭКГ + коагулограмма + эхокардиография;2024-12-12T17:30;6800 руб.;TINKOFF BANK | MIR | 9389 2534 1640 6629;2024-12-13T18:30
Гусев Вадим Игоревич;AB3767589;763-593-684 26;необъяснимые симптомы;Генетик;2024-04-05T17:00;общий анализ крови + биохимический анализ крови;2024-04-08T09:30;1700 руб.;SBERBANK OF RUSSIA | MIR | 9087 5443 6850 8752;2024-04-09T10:30
Хохлов Юрий Павлович;74 59 126817;287-967-476 26;снижение энергии, пищевой дискомфорт, проблемы с весом;Диетолог;2024-09-23T10:00;биохимический анализ крови + общий анализ мочи;2024-09-25T16:30;1140 руб.;GAZPROMBANK | VISA | 3394 3811 4635 1828;2024-09-26T17:30
Третьяков Игорь Артемьевич;25 41 759108;606-693-573 96;снижение подвижности;Реабилитолог;2024-09-23T16:00;общий анализ крови;2024-09-25T09:00;850 руб.;SBERBANK OF RUSSIA | MASTERCARD | 2618 2970 1947 4912;2024-09-26T10:00
Сорокин Радимир Семенович;81 73 792814;577-332-679 85;замедленная речь, заикание, трудности произношения;Логопед;2024-01-01T16:00;психодиагностика;2024-01-04T09:00;5000 руб.;VTB BANK | VISA | 9402 8457 6496 2001;2024-01-05T10:00
Куприянов Гордей Евгеньевич;67 88 552223;418-273-782 40;жажда, нарушение терморегуляции, резкие изменения веса;Эндокринолог;2024-05-13T13:00;глюкоза крови;2024-05-15T08:00;260 руб.;TINKOFF BANK | VISA | 1049 8337 3049 5027;2024-05-16T09:00
Попов Давид Арсеньевич;N63555394;967-225-607 76;пищевой дискомфорт;Диетолог;2024-06-12T15:00;биохимический анализ крови;2024-06-14T14:00;850 руб.;GAZPROMBANK | MASTERCARD | 9322 3285 7491 6239;2024-06-17T15:00
Бирюков Никита Никифорович;N30820682;420-129-158 73;усталость, нарушение терморегуляции;Эндокринолог;2024-05-08T08:00;глюкоза крови;2024-05-09T09:00;260 руб.;TINKOFF BANK | MASTERCARD | 4483 4298 7782 7633;2024-05-10T10:00
Анисимов Пётр Семенович;83 77 111206;455-409-983 37;снижение энергии, нарушение терморегуляции;Эндокринолог;2024-07-19T16:00;глюкоза крови + ТТГ + анализ на гормоны щитовидной железы;2024-07-22T13:00;2170 руб.;MTS BANK | MASTERCARD | 8412 7756 2934 6155;2024-07-23T14:00
Соловьев Давид Егорович;95 18 420266;900-697-698 41;ограничение функции, покраснение;Хирург;2024-03-20T14:00;УЗИ органов брюшной полости;2024-03-25T12:30;2500 руб.;TINKOFF BANK | VISA | 5348 1448 3025 7288;2024-03-26T13:30
Левин Андрей Вадимович;N18640760;377-356-174 28;эмоциональное напряжение;Психотерапевт;2024-01-08T17:00;психодиагностика + ЭЭГ + общий анализ крови;2024-01-09T18:00;7650 руб.;MTS BANK | VISA | 1350 3359 5492 6609;2024-01-10T10:00
Веденин Савва Русланович;N43491488;577-273-422 70;трудности глотания, подозрение на внутренние изменения, дискомфорт после еды;Эндоскопист;2024-06-28T08:00;общий анализ крови + колоноскопия;2024-07-01T12:00;8350 руб.;TINKOFF BANK | MIR | 7920 6451 1138 2992;2024-07-02T13:00
Кудрявцев Святослав Захарович;N89790017;727-702-485 63;жажда;Эндокринолог;2024-06-17T13:00;ТТГ + глюкоза крови;2024-06-20T17:30;670 руб.;MTS BANK | VISA | 4104 7013 4097 8504;2024-06-21T18:30
Максимов Радимир Сергеевич;43 20 105068;369-404-382 35;плохой набор веса, частые срыгивания, нестабильное дыхание;Неонатолог;2024-02-12T12:00;общий анализ крови + биохимический анализ крови + общий анализ мочи;2024-02-14T11:00;1990 руб.;TINKOFF BANK | MASTERCARD | 7566 2356 5011 9798;2024-02-15T12:00
Макаров Денис Филиппович;N20709398;518-468-164 25;отек, боль после повреждения, ограничение подвижности;Травматолог;2024-07-08T08:00;МРТ сустава + рентген сустава;2024-07-10T18:00;8000 руб.;VTB BANK | MASTERCARD | 1020 2944 2437 6950;2024-07-11T16:30
Воронин Руслан Антонович;AB4375417;391-504-994 33;наследственные риски;Генетик;2024-10-15T08:00;генетический анализ;2024-10-17T11:30;12000 руб.;SBERBANK OF RUSSIA | MIR | 5258 1744 1234 6352;2024-10-18T12:30
Агапов Давид Артемьевич;N77100837;659-779-148 67;выгорание, эмоциональное напряжение;Психотерапевт;2024-09-30T12:00;ЭЭГ;2024-10-03T12:00;1800 руб.;MTS BANK | MASTERCARD | 8166 6084 9875 1852;2024-10-04T13:00
Родионов Святослав Максимович;AB9915604;979-984-139 53;чувствительность, отек, неприятный запах;Стоматолог;2024-09-04T11:00;рентген зубов + общий анализ крови + биохимический анализ крови;2024-09-06T17:00;2400 руб.;SBERBANK OF RUSSIA | VISA | 3025 1469 3025 7883;2024-09-09T18:00
Соболев Давид Константинович;AB7472424;746-915-671 49;изменение аппетита, вздутие;Гастроэнтеролог;2024-02-26T10:00;ФГДС + биохимический анализ крови;2024-02-28T14:00;6350 руб.;VTB BANK | VISA | 4612 8853 9898 3423;2024-02-29T15:00
Тарасов Ратмир Федорович;N64882194;636-436-462 16;нестабильный пульс, ухудшение переносимости нагрузки;Кардиохирург;2024-11-14T12:00;эхокардиография;2024-11-18T14:00;4500 руб.;TINKOFF BANK | MASTERCARD | 9025 7137 7933 8641;2024-11-19T15:00
Шилов Эдуард Валентинович;AB1752548;630-641-719 69;дискомфорт в носоглотке, щелчки при глотании, снижение слуха;Лор;2024-09-12T12:00;мазок из зева + аудиометрия + общий анализ крови;2024-09-16T08:00;2850 руб.;VTB BANK | MIR | 2910 7503 9552 6694;2024-09-17T09:00
Евдокимов Игнат Ильич;N61710484;865-930-410 28;першение в горле, заложенность, дискомфорт в носоглотке;Лор;2024-03-25T14:00;общий анализ крови + мазок из зева + аудиометрия;2024-03-28T12:00;2850 руб.;VTB BANK | MIR | 6968 1894 7665 7212;2024-03-29T13:00
Лазарев Сергей Никифорович;N96340176;228-825-511 22;нарушения речи, заикание;Логопед;2024-08-09T15:00;психодиагностика;2024-08-12T10:00;5000 руб.;MTS BANK | MIR | 7890 5519 7603 6964;2024-08-13T11:00
Лукин Семен Иванович;N40619709;711-995-839 46;кашель, стеснение в груди, затрудненное дыхание;Пульмонолог;2024-04-19T16:00;общий анализ крови;2024-04-22T16:00;850 руб.;SBERBANK OF RUSSIA | MIR | 3216 8824 4954 6068;2024-04-23T17:00
Макаров Тарас Васильевич;N77483317;515-297-783 55;апатия, тревожность;Психиатр;2024-10-17T17:00;общий анализ крови;2024-10-21T13:00;850 руб.;TINKOFF BANK | MASTERCARD | 5645 8244 9176 3440;2024-10-22T14:00
Овчинников Василий Антонович;49 41 396658;516-426-619 56;изменения структуры кожи;Дерматолог;2024-02-19T09:00;общий анализ крови + соскоб кожи на грибки;2024-02-22T09:30;1550 руб.;SBERBANK OF RUSSIA | MIR | 2990 3466 6121 4058;2024-02-23T10:30
Муравьев Тарас Александрович;AB9899282;393-612-200 77;нестабильный пульс;Кардиохирург;2024-02-09T08:00;ЭКГ + эхокардиография;2024-02-12T12:30;6000 руб.;TINKOFF BANK | VISA | 7572 3166 4584 3319;2024-02-13T13:30
Селезнев Вадим Дмитриевич;AB8450575;668-626-740 83;мышечная слабость, замедленное восстановление;Реабилитолог;2024-12-23T13:00;механотерапия + консультация врача-реабилитолога;2024-12-26T09:00;5200 руб.;MTS BANK | VISA | 5461 6273 3406 1283;2024-12-27T10:00
Хохлов Даниил Павлович;N29527460;898-834-830 48;нестабильное дыхание, плохой набор веса;Неонатолог;2024-03-25T10:00;общий анализ мочи + общий анализ крови;2024-03-26T15:30;1140 руб.;VTB BANK | VISA | 4155 1135 2564 1955;2024-03-27T16:30
Алексееев Михаил Тимофеевич;90 20 221471;302-542-189 76;стресс;Психотерапевт;2024-11-18T13:00;общий анализ крови + психодиагностика + ЭЭГ;2024-11-19T14:00;7650 руб.;GAZPROMBANK | VISA | 1512 1731 2862 4692;2024-11-20T15:00
Игнатов Анатолий Степанович;N92821927;233-205-703 47;потеря интереса;Психиатр;2024-08-22T12:00;общий анализ крови + биохимический анализ крови;2024-08-26T15:00;1700 руб.;VTB BANK | MASTERCARD | 5755 2620 1566 2503;2024-08-27T16:00
Климов Лев Глебович;N93689246;421-770-441 25;реакции на раздражители;Аллерголог;2024-06-17T14:00;общий анализ крови;2024-06-20T13:00;850 руб.;MTS BANK | VISA | 9673 3603 1848 2796;2024-06-21T14:00
Котов Анатолий Русланович;97 70 292988;823-984-699 97;утомляемость, снижение подвижности, скованность;Реабилитолог;2024-09-16T14:00;общий анализ крови + механотерапия;2024-09-18T10:00;1450 руб.;MTS BANK | MASTERCARD | 7223 9513 1972 6230;2024-09-19T11:00
Капустин Харитон Русланович;N93789954;592-875-461 32;трудности произношения;Логопед;2024-02-07T09:00;общий анализ крови;2024-02-09T16:30;850 руб.;GAZPROMBANK | MASTERCARD | 2856 1483 4214 6179;2024-02-12T17:30
Казаков Матвей Владиславович;87 58 954080;561-930-318 86;нарушения сна, перепады настроения;Психиатр;2024-01-02T16:00;психодиагностика + общий анализ крови;2024-01-04T09:00;5850 руб.;TINKOFF BANK | MIR | 6528 2234 8797 2838;2024-01-05T10:00
Козлов Пётр Семенович;AB1421526;244-753-170 10;слабость, общее недомогание, ломота в теле;Терапевт;2024-11-28T09:00;общий анализ крови + биохимический анализ крови + общий анализ мочи;2024-12-02T13:00;1990 руб.;GAZPROMBANK | MIR | 1226 1075 3068 4846;2024-12-03T14:00
Большаков Кирилл Васильевич;AB3239955;716-874-483 63;заикание, напряжение голоса;Логопед;2024-07-24T17:00;общий анализ крови + психодиагностика;2024-07-26T15:00;5850 руб.;TINKOFF BANK | MASTERCARD | 7591 8314 3044 9085;2024-07-29T16:00
Быстров Олег Егорович;N33384879;538-323-646 10;слабость при нагрузке;Кардиолог;2024-05-16T15:00;общий анализ крови + ЭКГ + эхокардиография;2024-05-20T13:00;6850 руб.;VTB BANK | MIR | 5258 4013 2168 3309;2024-05-21T14:00
Макаров Артём Игоревич;N95841793;353-602-657 68;утомляемость;Реабилитолог;2024-09-05T10:00;общий анализ крови + механотерапия + консультация врача-реабилитолога;2024-09-06T11:00;6050 руб.;SBERBANK OF RUSSIA | VISA | 9683 4304 6007 8112;2024-09-09T12:00
Витков Григорий Геннадьевич;N86722589;499-617-506 94;необъяснимая потеря веса, уплотнения;Онколог;2024-08-05T15:00;общий анализ крови + онкомаркеры;2024-08-07T12:00;3250 руб.;TINKOFF BANK | MASTERCARD | 2797 7216 2355 6673;2024-08-08T13:00
Дмитриев Сергей Юрьевич;38 57 108278;382-286-604 15;перебои сердечного ритма, слабость при нагрузке, дискомфорт в груди;Кардиолог;2024-01-26T11:00;общий анализ крови + коагулограмма + эхокардиография;2024-01-29T11:00;6150 руб.;MTS BANK | VISA | 7233 6895 3731 7203;2024-01-30T12:00
Гусев Даниил Тимофеевич;AB2816927;974-234-517 62;боль в пояснице, слабость, повышение давления;Нефролог;2024-05-02T12:00;УЗИ почек и мочевого пузыря + общий анализ мочи + бактериологический посев мочи;2024-05-03T15:30;3690 руб.;GAZPROMBANK | MIR | 4230 9109 1514 4336;2024-05-06T16:30
Соболев Григорий Игоревич;84 44 620006;250-245-984 88;высыпания;Дерматолог;2024-06-20T17:00;соскоб кожи на грибки;2024-06-24T09:00;700 руб.;TINKOFF BANK | VISA | 7336 7274 4511 2200;2024-06-25T10:00
Анисимов Игорь Семенович;AB2499850;256-508-485 72;скованность движений, нарушение осанки;Ортопед;2024-09-09T14:00;МРТ позвоночника + рентген грудной клетки + общий анализ крови;2024-09-11T08:00;8550 руб.;SBERBANK OF RUSSIA | MASTERCARD | 2996 1760 3240 2834;2024-09-12T09:00
Куприянов Александр Валерьевич;26 84 985031;568-815-815 69;реакции на раздражители, кожные проявления;Аллерголог;2024-07-02T13:00;аллергопробы;2024-07-05T11:00;2000 руб.;MTS BANK | MASTERCARD | 1478 4629 9301 8527;2024-07-08T12:00
Власов Илья Давидович;AB2856998;821-243-901 23;скованность движений, утомляемость;Ортопед;2024-11-21T10:00;рентген грудной клетки + МРТ позвоночника;2024-11-25T17:00;7700 руб.;MTS BANK | MIR | 6023 1953 8546 9990;2024-11-26T18:00
Исаков Аркадий Федорович;AB4122065;290-416-984 89;изменение аппетита;Гастроэнтеролог;2024-09-24T12:00;общий анализ крови + ФГДС + биохимический анализ крови;2024-09-26T10:30;7200 руб.;VTB BANK | VISA | 1662 3743 3358 8049;2024-09-27T11:30
Горшков Савелий Егорович;N32350673;172-967-643 98;атипичные проявления, наследственные риски, необъяснимые симптомы;Генетик;2024-02-12T14:00;биохимический анализ крови + общий анализ крови + генетический анализ;2024-02-15T12:00;13700 руб.;MTS BANK | VISA | 8619 4864 1297 7464;2024-02-16T13:00
Орлов Павел Глебович;N84928099;790-914-623 24;утомляемость, боли в суставах;Ортопед;2024-02-09T10:00;рентген грудной клетки;2024-02-12T12:00;1200 руб.;TINKOFF BANK | MASTERCARD | 9445 1815 6171 7588;2024-02-13T13:00
Коновчук Ратмир Юрьевич;AB3055749;462-362-548 87;повышенная температура, кашель, сыпь;Педиатр;2024-06-03T09:00;общий анализ крови;2024-06-05T11:30;850 руб.;SBERBANK OF RUSSIA | MIR | 7002 4942 5718 4226;2024-06-06T12:30
Леонов Тимофей Михайлович;96 98 269910;435-410-842 25;напряжение голоса, нарушения речи;Логопед;2024-11-25T09:00;общий анализ крови;2024-11-26T18:00;850 руб.;TINKOFF BANK | MIR | 7077 3516 9984 1546;2024-11-27T09:30
Денисов Сергей Евгеньевич;AB3982389;827-867-648 45;кашель;Педиатр;2024-03-20T08:00;общий анализ крови;2024-03-21T14:00;850 руб.;GAZPROMBANK | VISA | 7463 4927 3624 6161;2024-03-22T15:00
Фомин Харитон Маркович;17 47 438784;578-333-447 57;зуд, покраснение кожи, высыпания;Дерматолог;2024-01-29T13:00;соскоб кожи на грибки + общий анализ крови;2024-01-31T13:30;1550 руб.;MTS BANK | MASTERCARD | 7012 4993 8035 6117;2024-02-01T14:30
Кожевников Святослав Захарович;51 66 906086;496-364-853 90;вздутие, тошнота, изменение аппетита;Гастроэнтеролог;2024-04-05T16:00;ФГДС;2024-04-08T11:00;5500 руб.;VTB BANK | VISA | 6946 7964 3073 9446;2024-04-09T12:00
Самойлов Пётр Ростиславович;AB8338782;717-196-521 56;скованность, ограничение подвижности, замедленное восстановление;Физиотерапевт;2024-03-04T09:00;дарсонвализация + магнитотерапия;2024-03-05T11:00;850 руб.;SBERBANK OF RUSSIA | MIR | 8433 2084 4274 6358;2024-03-06T12:00
Маслов Федор Глебович;90 99 867093;196-126-559 92;хронические боли;Физиотерапевт;2024-07-02T17:00;ультразвуковая терапия + магнитотерапия;2024-07-05T12:00;800 руб.;TINKOFF BANK | VISA | 7912 7676 5047 3827;2024-07-08T13:00
Климов Владимир Глебович;AB9664347;666-200-136 82;отказ от еды;Педиатр;2024-03-18T13:00;биохимический анализ крови + общий анализ мочи;2024-03-21T15:00;1140 руб.;SBERBANK OF RUSSIA | MIR | 1687 6638 2371 3933;2024-03-22T16:00
Муравьев Игнат Маркович;33 90 212460;950-678-268 34;дыхательный дискомфорт;Пульмонолог;2024-11-22T14:00;общий анализ крови + спирометрия + рентген грудной клетки;2024-11-25T13:00;3850 руб.;GAZPROMBANK | MASTERCARD | 5858 5477 8786 1931;2024-11-26T14:00
Панкратов Алексей Антонович;N12831031;317-840-962 83;воспаление десен, отек;Стоматолог;2024-10-21T14:00;общий анализ крови + биохимический анализ крови;2024-10-23T17:00;1700 руб.;TINKOFF BANK | MIR | 3294 9510 8076 9507;2024-10-24T18:00
Кузьмин Мирон Захарович;AB1559340;269-687-725 28;стресс, тревожные мысли, эмоциональное напряжение;Психотерапевт;2024-04-22T12:00;психодиагностика;2024-04-24T12:30;5000 руб.;SBERBANK OF RUSSIA | MASTERCARD | 6314 3119 1681 2292;2024-04-25T13:30
Маслов Егор Федорович;N51069732;606-294-661 41;слезоточивость, отечность, реакции на раздражители;Аллерголог;2024-10-21T14:00;аллергопробы + биохимический анализ крови + общий анализ крови;2024-10-24T10:30;3700 руб.;SBERBANK OF RUSSIA | MIR | 1788 9478 4059 4787;2024-10-25T11:30
Власов Ратмир Маркович;47 23 725338;707-971-216 13;скованность движений, боли в суставах, утомляемость;Ортопед;2024-01-19T10:00;рентген грудной клетки + МРТ позвоночника;2024-01-22T17:30;7700 руб.;VTB BANK | MASTERCARD | 4406 6743 6380 8961;2024-01-23T18:30
Веденин Федор Вадимович;AB8939045;855-542-498 72;врожденные особенности;Генетик;2024-06-28T14:00;генетический анализ + биохимический анализ крови;2024-07-01T13:00;12850 руб.;GAZPROMBANK | MASTERCARD | 8099 5011 9650 1547;2024-07-02T14:00
Сидоров Евгений Валерьевич;AB4279523;317-298-287 95;снижение энергии, усталость;Диетолог;2024-12-20T14:00;глюкоза крови;2024-12-23T11:30;260 руб.;TINKOFF BANK | VISA | 3376 1722 2072 9679;2024-12-24T12:30
Мартынов Денис Петрович;N30689636;358-942-301 81;отечность;Аллерголог;2024-05-27T15:00;общий анализ крови;2024-05-30T09:00;850 руб.;VTB BANK | MASTERCARD | 5231 4886 9420 5274;2024-05-31T10:00
Некрасов Евдоким Семенович;10 72 138874;322-445-242 84;синяки;Травматолог;2024-06-10T13:00;рентген сустава;2024-06-12T09:30;1500 руб.;GAZPROMBANK | MASTERCARD | 3541 4650 6745 6563;2024-06-13T10:30
Мочалов Данила Давидович;62 16 991466;628-635-699 58;боли в суставах, утомляемость, скованность движений;Ортопед;2024-08-14T13:00;рентген грудной клетки + общий анализ крови + МРТ позвоночника;2024-08-16T10:00;8550 руб.;TINKOFF BANK | MASTERCARD | 2611 2398 8770 3920;2024-08-19T11:00
Юдин Василий Ярославович;AB2390795;354-138-786 22;дискомфорт в груди, головокружение;Кардиолог;2024-01-22T12:00;коагулограмма + эхокардиография + ЭКГ;2024-01-25T09:00;6800 руб.;MTS BANK | MIR | 3728 5464 6176 9715;2024-01-26T10:00
Суханов Георгий Николаевич;15 95 540879;490-597-646 30;стресс, выгорание, эмоциональное напряжение;Психотерапевт;2024-03-01T09:00;ЭЭГ;2024-03-04T16:00;1800 руб.;GAZPROMBANK | VISA | 1010 8082 9603 6482;2024-03-05T17:00
Быков Марк Владимирович;AB8888305;457-202-583 43;ограничение функции, воспаление;Хирург;2024-07-26T14:00;УЗИ органов брюшной полости;2024-07-29T11:30;2500 руб.;VTB BANK | VISA | 5889 5369 3770 2217;2024-07-30T12:30
Пономарев Давид Сергеевич;41 22 449297;962-158-663 44;перепады настроения;Психиатр;2024-06-03T10:00;психодиагностика + биохимический анализ крови;2024-06-04T13:00;5850 руб.;SBERBANK OF RUSSIA | MIR | 6249 3917 4753 6795;2024-06-05T14:00
Архипов Антон Станиславович;N23700568;341-394-522 88;нарушения речи;Логопед;2024-12-04T16:00;общий анализ крови + аудиометрия + психодиагностика;2024-12-06T10:00;7050 руб.;MTS BANK | MASTERCARD | 9627 6395 5125 2282;2024-12-09T11:00
Большаков Дамир Петрович;N75528829;700-677-909 21;длительная боль, хроническая усталость;Онколог;2024-10-18T13:00;общий анализ крови + онкомаркеры;2024-10-21T10:00;3250 руб.;MTS BANK | MIR | 1930 2481 3749 2952;2024-10-22T11:00
Пестов Георгий Максимович;56 76 427369;192-365-780 91;необъяснимая потеря веса, длительная боль, хроническая усталость;Онколог;2024-12-23T17:00;биохимический анализ крови;2024-12-25T16:00;850 руб.;GAZPROMBANK | VISA | 2967 5929 8257 3915;2024-12-26T17:00
Костин Макар Юрьевич;N62985899;271-784-873 75;тревожные мысли, трудности расслабления;Психотерапевт;2024-01-24T14:00;ЭЭГ;2024-01-29T10:00;1800 руб.;TINKOFF BANK | MASTERCARD | 2506 6008 1603 9753;2024-01-30T11:00
Николаев Аркадий Станиславович;AB5790308;414-413-663 79;острая локальная боль;Хирург;2024-07-17T09:00;УЗИ органов брюшной полости + общий анализ крови + биохимический анализ крови;2024-07-18T11:00;4200 руб.;MTS BANK | VISA | 9903 5428 5869 5613;2024-07-19T12:00
Быстров Емельян Григорьевич;N55233060;243-574-909 77;покраснение кожи;Дерматолог;2024-01-22T13:00;биохимический анализ крови + общий анализ крови;2024-01-25T17:30;1700 руб.;TINKOFF BANK | MIR | 5775 9953 7011 1164;2024-01-26T18:30
Агеев Захар Иванович;N66228775;652-798-462 67;зубная боль, чувствительность;Стоматолог;2024-04-02T13:00;рентген зубов + общий анализ крови;2024-04-05T15:30;1550 руб.;GAZPROMBANK | MASTERCARD | 7374 1381 3477 2615;2024-04-08T16:30
Добрынин Георгий Вадимович;N72994595;803-363-266 74;частые срыгивания, нестабильное дыхание;Неонатолог;2024-06-03T17:00;биохимический анализ крови + общий анализ крови;2024-06-04T12:30;1700 руб.;SBERBANK OF RUSSIA | MASTERCARD | 6741 8234 5094 5711;2024-06-05T13:30
Чернов Денис Артемьевич;AB2850880;745-143-572 29;утомляемость;Ортопед;2024-09-17T13:00;общий анализ крови + МРТ позвоночника;2024-09-18T16:30;7350 руб.;MTS BANK | MIR | 2895 8163 9689 3339;2024-09-19T17:30
Рубцов Илья Филиппович;N37951914;982-543-520 22;ощущение нехватки воздуха, затрудненное дыхание, дыхательный дискомфорт;Пульмонолог;2024-08-05T15:00;рентген грудной клетки + общий анализ крови;2024-08-07T12:00;2050 руб.;TINKOFF BANK | MASTERCARD | 4430 6241 5892 5247;2024-08-08T13:00
Давыдов Юрий Эдуардович;N69487290;115-519-308 39;отеки, слабость, изменение мочи;Нефролог;2024-07-22T09:00;УЗИ почек и мочевого пузыря;2024-07-23T16:30;2500 руб.;GAZPROMBANK | MASTERCARD | 6407 8488 2830 5314;2024-07-24T17:30
